No.,File Name,Acoustic Event Density,bird,weather
1,009219_20150509_000000.wav,0.0001,0,1
2,009219_20150509_010000.wav,0.003,0,1
3,009219_20150509_020000.wav,0.0486,0,1
4,009219_20150509_030000.wav,0.0311,0,1
5,009219_20150509_040000.wav,0.0119,0,1
6,009219_20150509_050000.wav,0.0003,1,0
7,009219_20150509_060000.wav,0.1168,4,0
8,009219_20150509_070000.wav,0.0359,5,0
9,009219_20150509_080000.wav,0.0696,4,0
10,009219_20150509_090000.wav,0.1437,4,0
11,009219_20150509_100000.wav,0.0444,4,0
12,009219_20150509_110000.wav,0.0422,4,0
13,009219_20150509_120000.wav,0.0683,4,0
14,009219_20150509_130000.wav,0.0554,4,1
15,009219_20150509_140000.wav,0.0603,4,0
16,009219_20150509_150000.wav,0.0304,3.5,1
17,009219_20150509_160000.wav,0.0178,4,1
18,009219_20150509_170000.wav,0.0101,4,0
19,009219_20150509_180000.wav,0.0829,4,0
20,009219_20150509_190000.wav,0.0799,2,0
21,009219_20150509_200000.wav,0.0248,3,1
22,009219_20150509_210000.wav,0.0046,0,1
23,009219_20150509_220000.wav,0.0006,0,1
24,009219_20150509_230000.wav,0.0012,0,1
25,009219_20150510_000000.wav,0.0001,0,1
26,009219_20150510_010000.wav,0.0001,0,1
27,009219_20150510_020000.wav,0.0009,0,1
28,009219_20150510_030000.wav,0.0037,0,1
29,009219_20150510_040000.wav,0.0066,0,1
30,009219_20150510_050000.wav,0.0029,3,0
31,009219_20150510_060000.wav,0.0823,5,0
32,009219_20150510_070000.wav,0.0462,5,0
33,009219_20150510_080000.wav,0.0609,4,0
34,009219_20150510_090000.wav,0.1039,4,0
35,009219_20150510_100000.wav,0.051,4,0
36,009219_20150510_110000.wav,0.1285,4,0
37,009219_20150510_120000.wav,0.034,4,0
38,009219_20150510_130000.wav,0.0214,4,0
39,009219_20150510_140000.wav,0.035,4,0
40,009219_20150510_150000.wav,0.1349,3.5,0
41,009219_20150510_160000.wav,0.0711,4,1
42,009219_20150510_170000.wav,0.0496,4,0
43,009219_20150510_180000.wav,0.0608,4,0
44,009219_20150510_190000.wav,0.0397,2,1
45,009219_20150510_200000.wav,0.0721,3,0
46,009219_20150510_210000.wav,0.0004,2,0
47,009219_20150510_220000.wav,0,0,1
48,009219_20150510_230000.wav,0.0001,0,1
