Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn,,,,,,,
5/17/16,60.40,53.50,49.30,51.80,48.30,42.40,96.00,83.00,65.00,29.39,29.29,6.00,0.00,7.00,0.20,,,,,,,
5/18/16,69.30,58.00,47.80,51.80,45.90,36.30,97.00,69.00,34.00,29.37,29.29,10.00,2.00,13.00,0.02,,,,,,,
5/19/16,73.60,58.40,40.50,47.70,42.20,39.40,98.00,61.00,31.00,29.38,29.29,7.00,1.00,10.00,0.00,,,,,,,
5/20/16,70.30,60.70,53.10,54.90,46.40,41.90,94.00,61.00,38.00,29.33,29.16,6.00,1.00,13.00,0.06,,,,,,,
5/21/16,74.10,62.30,54.30,56.10,52.10,46.40,97.00,73.00,40.00,29.22,29.15,8.00,2.00,13.00,0.67,,,,,,,
5/22/16,80.80,64.40,45.30,50.50,46.10,41.90,97.00,57.00,28.00,29.25,29.11,10.00,2.00,13.00,0.00,,,,,,,
5/23/16,82.60,65.60,46.20,54.50,43.80,35.20,98.00,53.00,19.00,29.25,29.15,5.00,1.00,7.00,0.00,,,,,,,
5/24/16,86.50,69.10,48.90,56.50,50.90,44.80,92.00,57.00,29.00,29.26,29.17,7.00,1.00,10.00,0.00,,,,,,,
5/25/16,86.70,74.60,61.30,65.30,61.40,56.10,85.00,65.00,47.00,29.26,29.12,8.00,2.00,12.00,0.00,,,,,,,
5/26/16,80.80,72.40,67.30,70.30,65.60,63.10,93.00,80.00,64.00,29.22,29.08,5.00,1.00,14.00,0.08,,,,,,,
5/27/16,88.00,74.70,63.70,69.40,64.20,61.70,95.00,73.00,43.00,29.17,29.07,7.00,2.00,9.00,0.02,,,,,,,
5/28/16,85.60,77.20,71.80,68.40,66.30,62.60,85.00,70.00,54.00,29.21,29.12,8.00,2.00,13.00,0.00,,,,,,,
5/29/16,87.80,76.50,67.30,72.00,64.90,56.10,94.00,70.00,38.00,29.25,29.15,6.00,1.00,11.00,0.11,,,,,,,
5/30/16,90.50,74.90,58.80,63.30,59.20,57.00,94.00,62.00,34.00,29.24,29.13,5.00,0.00,6.00,0.00,,,,,,,
5/31/16,92.70,75.60,60.60,65.10,60.70,56.50,95.00,64.00,32.00,29.18,29.10,8.00,1.00,15.00,0.00,,,,,,,
6/1/16,86.40,71.60,61.00,69.80,64.40,59.20,96.00,80.00,49.00,29.15,29.10,5.00,1.00,9.00,0.20,,,,,,,
6/2/16,87.60,74.20,64.90,68.00,60.80,52.90,99.00,68.00,36.00,29.22,29.14,5.00,1.00,10.00,0.00,,,,,,,
6/3/16,87.10,71.20,57.60,59.40,55.40,45.50,89.00,61.00,25.00,29.24,29.16,3.00,0.00,5.00,0.00,,,,,,,
6/4/16,72.30,67.70,63.50,69.60,61.20,57.70,97.00,89.00,61.00,29.18,28.94,5.00,0.00,9.00,1.13,,,,,,,
6/5/16,78.30,70.50,64.80,65.80,63.40,59.70,98.00,80.00,58.00,28.94,28.87,10.00,2.00,17.00,0.00,,,,,,,
6/6/16,85.50,73.90,63.90,62.80,56.20,45.50,83.00,58.00,26.00,28.95,28.82,10.00,2.00,17.00,0.00,,,,,,,
6/7/16,71.80,63.90,54.30,55.20,51.80,48.90,89.00,66.00,48.00,29.05,28.86,8.00,2.00,14.00,0.00,,,,,,,
6/8/16,76.80,64.70,49.30,52.90,47.90,42.80,97.00,59.00,30.00,29.19,29.06,8.00,2.00,13.00,0.00,,,,,,,
6/9/16,84.40,68.60,49.60,56.70,51.90,46.60,95.00,60.00,33.00,29.25,29.15,4.00,1.00,7.00,0.00,,,,,,,
6/10/16,91.20,77.80,67.50,70.50,63.00,55.40,81.00,61.00,45.00,29.26,29.13,7.00,2.00,12.00,0.00,,,,,,,
6/11/16,95.50,83.00,70.90,72.00,66.20,62.40,81.00,59.00,36.00,29.21,29.14,10.00,2.00,13.00,0.00,,,,,,,
6/12/16,90.90,80.70,69.30,73.90,63.80,43.30,83.00,59.00,28.00,29.23,29.17,7.00,2.00,12.00,0.00,,,,,,,
6/13/16,95.00,76.10,56.30,56.10,51.30,38.70,90.00,48.00,16.00,29.24,29.06,3.00,1.00,6.00,0.00,,,,,,,
6/14/16,79.00,71.10,65.30,70.30,62.20,54.50,95.00,75.00,51.00,29.18,29.03,4.00,1.00,12.00,0.92,,,,,,,
6/15/16,92.80,72.90,67.30,78.40,69.20,65.70,97.00,89.00,60.00,29.05,28.92,6.00,1.00,12.00,0.55,,,,,,,
6/16/16,81.90,73.70,66.90,72.90,66.30,61.50,97.00,79.00,59.00,29.07,28.94,10.00,2.00,15.00,0.00,,,,,,,
6/17/16,88.90,74.60,62.10,65.50,58.50,47.10,94.00,62.00,28.00,29.24,29.07,13.00,3.00,15.00,0.00,,,,,,,
6/18/16,90.10,75.50,57.70,62.60,54.60,47.10,82.00,51.00,27.00,29.41,29.24,6.00,1.00,15.00,0.00,,,,,,,
