Period,Sensor,Vegetation,North,West,Calendar Day,Hour,Temp,Humidity,Precipitation,AcouOccupancy_left,Bioac_left,Ht_left,Hf_left,H_left,ACI_left,AEI_villa_left,M_left,NDSI_left,ADI_left,npic_left
1,9219,Riparian,39.98615,86.04456,20150416,0,55.8,63,0.01,0.306754403,30.02537943,0.980734402,0.975724597,0.956926679,1804.386956,0.820566,9.72E-12,0.415626004,1.658238,0
1,9219,Riparian,39.98615,86.04456,20150416,1,53.2,79,0.01,0.006193149,32.1650714,0.975324226,0.977141676,0.953029949,1819.053168,0.930807,8.74E-12,0.562615531,0.003779,2
1,9219,Riparian,39.98615,86.04456,20150416,2,54.7,74,0.01,0.004644862,30.60950485,0.978049498,0.977171291,0.955721891,1806.150377,0.954476,9.22E-12,0.550445557,0.025958,1
1,9219,Riparian,39.98615,86.04456,20150416,3,52.7,79,0.01,0.950841881,30.38601737,0.980833354,0.976874813,0.958151399,1805.160482,0.676569,9.75E-12,0.602319226,1.840376,2
1,9219,Riparian,39.98615,86.04456,20150416,4,51.3,83,0.01,0.005612541,31.09142156,0.976049931,0.977069557,0.953668674,1825.81734,0.938435,8.89E-12,0.431163021,0.049734,2
1,9219,Riparian,39.98615,86.04456,20150416,5,51.4,82,0.02,0.696342171,32.95840438,0.980754872,0.976909928,0.958109172,1839.601766,0.847897,9.73E-12,0.267230676,1.705651,3
1,9219,Riparian,39.98615,86.04456,20150416,6,51.6,85,0.02,0.189084575,36.91743535,0.978517585,0.97651759,0.955539634,1856.734035,0.558919,9.32E-12,0.462826683,0.966964,4
1,9219,Riparian,39.98615,86.04456,20150416,7,50.7,89,0.04,0.997290497,40.68570734,0.98067141,0.964403311,0.945762754,1847.452846,0.790622,9.69E-12,0.728485767,1.758867,7
1,9219,Riparian,39.98615,86.04456,20150416,8,53.8,87,0.04,0.975420941,42.54071862,0.979911896,0.960928733,0.941625497,1906.133165,0.831002,9.58E-12,0.938861332,1.492236,7
1,9219,Riparian,39.98615,86.04456,20150416,9,55.4,86,0.04,0.647184053,44.74993424,0.976838405,0.958312594,0.936116545,1882.925148,0.845317,9.00E-12,0.965751766,1.372651,10
1,9219,Riparian,39.98615,86.04456,20150416,10,57.2,86,0.04,0.954131991,60.10464907,0.976484528,0.968278403,0.945508879,2139.341009,0.695753,9.09E-12,0.987994686,2.319253,24
1,9219,Riparian,39.98615,86.04456,20150416,11,60.1,83,0.04,0.826978905,45.60526916,0.977735859,0.959961957,0.938589229,1893.719215,0.805053,9.14E-12,0.822668321,1.689436,10
1,9219,Riparian,39.98615,86.04456,20150416,12,61.5,85,0.04,0.281981808,42.00338537,0.971286447,0.967429012,0.939650688,1825.716334,0.817249,8.60E-12,0.821631328,1.244393,11
1,9219,Riparian,39.98615,86.04456,20150416,13,62.1,87,0.04,0.961873428,46.54599299,0.979039788,0.967209474,0.946936558,1873.108557,0.456538,9.40E-12,0.843046474,2.335211,16
1,9219,Riparian,39.98615,86.04456,20150416,14,64.8,82,0.04,0.933617186,46.05891703,0.979276219,0.96302114,0.943063701,1945.001752,0.77651,9.44E-12,0.851758965,2.402814,10
1,9219,Riparian,39.98615,86.04456,20150416,15,68.4,82,0.04,0.104702922,37.06479262,0.958880359,0.972147017,0.932172681,1834.86885,0.912624,6.66E-12,0.620690358,0.260157,7
1,9219,Riparian,39.98615,86.04456,20150416,16,67.6,74,0.04,0.974259725,37.82414251,0.980145961,0.970689668,0.951417557,1831.069245,0.718015,9.54E-12,0.57153049,2.17126,13
1,9219,Riparian,39.98615,86.04456,20150416,17,66.9,76,0.04,1,36.35908735,0.980461123,0.970147708,0.951192111,1813.734688,0.584169,9.67E-12,0.353230917,2.373143,7
1,9219,Riparian,39.98615,86.04456,20150416,18,67.3,76,0.04,0.999806464,39.63078693,0.980713057,0.968233816,0.949559545,1832.953293,0.607318,9.72E-12,0.765757551,2.418634,9
1,9219,Riparian,39.98615,86.04456,20150416,19,64.6,83,0.04,0.015482872,33.37519624,0.97335437,0.9762538,0.950240903,1806.095834,0.936396,8.74E-12,-0.075139827,0.548606,4
1,9219,Riparian,39.98615,86.04456,20150416,20,62.6,84,0.04,0.083607509,33.48361455,0.975581046,0.974832564,0.951028173,1803.201502,0.935823,8.78E-12,0.140130235,0.458908,10
1,9219,Riparian,39.98615,86.04456,20150416,21,61.3,87,0.04,0.86781498,30.36833103,0.980894195,0.975414064,0.956777994,1798.074782,0.75868,9.78E-12,0.200995654,2.204991,0
1,9219,Riparian,39.98615,86.04456,20150416,22,60.3,88,0.04,0.471453455,30.69359323,0.980640299,0.975930836,0.957037107,1809.510009,0.909632,9.69E-12,0.423902228,1.653297,4
1,9219,Riparian,39.98615,86.04456,20150416,23,58.3,91,0.04,0.984130056,30.50460556,0.980666342,0.975898076,0.957030397,1807.25428,0.612131,9.74E-12,-0.099833307,2.371087,0
1,9219,Riparian,39.98615,86.04456,20150417,0,55.6,96,0,1,30.49039208,0.98051332,0.976605215,0.957574422,1797.23929,0.593091,9.68E-12,-0.120795149,2.441636,0
1,9219,Riparian,39.98615,86.04456,20150417,1,53.8,97,0,1,29.64980317,0.980853725,0.976468138,0.957772411,1798.109598,0.562882,9.69E-12,0.567855034,2.469215,0
1,9219,Riparian,39.98615,86.04456,20150417,2,51.8,97,0,1,29.7271181,0.980673984,0.976909418,0.958029652,1793.984584,0.625156,9.76E-12,0.657956098,2.356434,0
1,9219,Riparian,39.98615,86.04456,20150417,3,50.5,98,0,1,29.5365821,0.9810624,0.976884073,0.958384234,1796.666784,0.374598,9.73E-12,0.595202551,2.805389,1
1,9219,Riparian,39.98615,86.04456,20150417,4,49.3,98,0,0.999225856,30.96908004,0.980098057,0.977531083,0.958076315,1835.131268,0.658462,9.54E-12,0.365742093,2.002239,6
1,9219,Riparian,39.98615,86.04456,20150417,5,49.3,98,0,0.781304432,31.91851819,0.979729197,0.977834489,0.958012999,1864.047384,0.602295,9.49E-12,0.410534692,2.373021,7
1,9219,Riparian,39.98615,86.04456,20150417,6,48.7,98,0,0.974453261,35.72514796,0.980159883,0.977266393,0.957877314,1968.342156,0.456825,9.60E-12,0.339372529,2.692892,4
1,9219,Riparian,39.98615,86.04456,20150417,7,47.3,98,0,0.870330946,57.22047441,0.972943184,0.973342424,0.947006877,2107.499452,0.589753,8.84E-12,0.861682111,2.102088,29
1,9219,Riparian,39.98615,86.04456,20150417,8,47.5,99,0,0.877685311,43.95133471,0.980727899,0.969268222,0.950588387,1892.530187,0.706467,9.73E-12,0.419750084,1.897371,10
1,9219,Riparian,39.98615,86.04456,20150417,9,50.5,99,0,0.897232437,36.69792447,0.980599879,0.973184701,0.954304801,1814.119968,0.850034,9.68E-12,0.201763378,1.465201,15
1,9219,Riparian,39.98615,86.04456,20150417,10,54.9,99,0,0.997871105,56.30411258,0.979652731,0.966402334,0.946738686,2147.545648,0.707525,9.52E-12,0.950536183,2.420686,28
1,9219,Riparian,39.98615,86.04456,20150417,11,66,66,0,0.963615251,41.60511024,0.979429324,0.965444882,0.945585028,1852.802521,0.888216,9.45E-12,0.833420318,1.964524,10
1,9219,Riparian,39.98615,86.04456,20150417,12,70.3,46,0,0.994000387,48.14672974,0.978717831,0.964668835,0.94413859,1913.95814,0.630069,9.34E-12,0.881326849,2.366873,20
1,9219,Riparian,39.98615,86.04456,20150417,13,75,33,0,0.435262241,39.90887721,0.974972563,0.966216778,0.942034848,1837.11279,0.893348,8.72E-12,0.802653563,1.187806,8
1,9219,Riparian,39.98615,86.04456,20150417,14,76.3,33,0,0.850009677,32.595852,0.980869315,0.976696255,0.958011386,1813.97366,0.634799,9.76E-12,0.378371498,2.426158,9
1,9219,Riparian,39.98615,86.04456,20150417,15,76.5,31,0,1,34.57542197,0.98011188,0.972508395,0.953167032,1813.507118,0.56809,9.54E-12,0.523804838,2.487959,10
1,9219,Riparian,39.98615,86.04456,20150417,16,77,34,0,0.10857364,34.13489165,0.96429115,0.973003631,0.93825879,1823.827615,0.952111,7.27E-12,0.601296737,0.244588,5
1,9219,Riparian,39.98615,86.04456,20150417,17,76.6,29,0,0.44997097,34.00752591,0.97802899,0.974275447,0.952869631,1801.623411,0.904541,9.17E-12,0.195304317,1.548584,18
1,9219,Riparian,39.98615,86.04456,20150417,18,76.3,34,0,0.239790981,33.58419897,0.978810931,0.973419451,0.952793599,1806.432592,0.946618,9.33E-12,0.205124072,0.862303,5
1,9219,Riparian,39.98615,86.04456,20150417,19,73.9,33,0,0.973872653,44.03661737,0.978505826,0.967260488,0.946470022,1935.472941,0.653066,9.27E-12,0.915902949,2.185429,18
1,9219,Riparian,39.98615,86.04456,20150417,20,71.1,39,0,0.987807238,31.69223735,0.97982455,0.975018719,0.955347278,1792.531105,0.651449,9.55E-12,-0.116258805,2.255122,6
1,9219,Riparian,39.98615,86.04456,20150417,21,67.8,43,0,1,30.63771914,0.980942186,0.975120203,0.956536544,1795.044345,0.488896,9.73E-12,-0.22322217,2.5873,0
