,AcouOccupancyR,Bioac,Ht,Hf,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
1,0.133241488,35.96537261,0.980717916,0.969436117,1655.889672,0.954545,9.85E-12,-0.958126343,0,0,0,0,0.06037671,0.007872466,0,0,270.7406514,-38.37233377,15116_PreEvent/015116_20150509_000000.wav
2,0.119267861,35.62238391,0.981113861,0.970643129,1659.116127,0.953049,9.95E-12,-0.937802801,0.050518,0,0,0,0,0,0,0,190.2500433,-25.6835728,15116_PreEvent/015116_20150509_010000.wav
3,0.075182051,34.71183276,0.98113486,0.971796365,1653.318329,0.953607,9.97E-12,-0.889494306,0.03234,1,0,0,0,0,0,0,136.8590351,-18.65971122,15116_PreEvent/015116_20150509_020000.wav
4,0.000393623,35.64038538,0.960203697,0.965314562,1733.672974,0.954545,6.64E-12,-0.987939546,0,0,0.302813126,0.003703704,0.971177015,0.646329463,1,0.115257599,1770.155082,212.4886219,15116_PreEvent/015116_20150509_030000.wav
5,0.001574493,35.20509241,0.955963023,0.968391097,1666.123719,0.954545,5.71E-12,-0.960024863,0,0,0.069701078,0.003703704,0.68768101,0.301121826,1,0.075499613,755.0177667,15.02689604,15116_PreEvent/015116_20150509_040000.wav
6,0.000196812,35.51644072,0.969441727,0.969796908,1671.009861,0.954545,7.85E-12,-0.918646425,0,0,0.001764564,0.003703704,0.517711597,0.192088172,0.457142857,0.081269841,495.8984103,-138.7333044,15116_PreEvent/015116_20150509_050000.wav
7,0.079315095,43.66916235,0.979344509,0.968770364,1729.866989,0.926682,9.67E-12,-0.633076807,0.560601,11,0,0.003703704,0.195569845,0.000984058,0.007142857,0.046439909,162.5590644,-11.73850264,15116_PreEvent/015116_20150509_060000.wav
8,0.03818146,73.41816325,0.9345454,0.962595903,1762.427366,0.827518,5.50E-12,0.80846875,1.569513,23,0.126608041,0.003703704,0.966774688,0.249950797,0.671428571,0.119311044,1443.545373,688.0024663,15116_PreEvent/015116_20150509_070000.wav
9,0.045069868,64.10503686,0.944635504,0.964900492,1800.849207,0.836004,5.06E-12,0.751030018,1.537009,21,0.306391195,0.003703704,0.999191181,0.540051171,1,0.137427732,2223.297045,-591.0920942,15116_PreEvent/015116_20150509_080000.wav
10,0.007282031,47.89805432,0.959458951,0.962862941,1740.207125,0.941124,6.68E-12,-0.365646868,0.394259,7,0.051176385,0.003703704,0.662599601,0.233221807,0.764285714,0.08853964,694.1669436,53.9184537,15116_PreEvent/015116_20150509_090000.wav
11,0.037591025,68.94750769,0.91883048,0.962871128,1742.975015,0.806828,4.68E-12,0.802450535,1.670379,26,0.11981186,0.003703704,0.946970214,0.20980122,0.528571429,0.117041123,1658.640133,191.0452559,15116_PreEvent/015116_20150509_100000.wav
12,0.080889589,56.66507556,0.931138543,0.956108068,1828.022695,0.780869,4.20E-12,0.799107316,1.720215,20,0.41277658,0.003703704,1,0.621924818,1,0.137916709,3773.314906,265.486082,15116_PreEvent/015116_20150509_110000.wav
13,0.012595946,51.59614667,0.966233666,0.966895613,1753.90332,0.932489,7.34E-12,-0.276722274,0.49243,10,0.314562223,0.003703704,0.797436207,0.711474119,1,0.111646631,1680.395736,1342.275722,15116_PreEvent/015116_20150509_120000.wav
14,0.002952175,41.04681628,0.96140104,0.963055991,1777.860476,0.954545,6.92E-12,-0.990670034,0,2,0.455313626,0.003703704,1,0.861641409,1,0.163657492,3132.808546,-1116.871473,15116_PreEvent/015116_20150509_130000.wav
15,0.04644755,74.75138712,0.942992941,0.967354398,1985.711396,0.884311,5.40E-12,0.822065851,1.164872,18,0.449474528,0.003703704,1,0.775831529,1,0.139103728,3957.058025,-579.6933442,15116_PreEvent/015116_20150509_140000.wav
16,0.001968117,40.71215448,0.961928062,0.966380076,1702.910858,0.954545,6.76E-12,-0.98372836,0,2,0.284868542,0.003703704,0.788185832,0.629994096,1,0.11269418,1580.8848,-1118.264527,15116_PreEvent/015116_20150509_150000.wav
17,0.065931903,68.34460347,0.944945064,0.949241832,1710.891962,0.812904,6.00E-12,0.791903929,1.63116,12,0.269538926,0.003703704,0.958755926,0.54949813,1,0.092879819,2067.166628,1284.680832,15116_PreEvent/015116_20150509_160000.wav
18,0.000196812,41.51538983,0.965244661,0.963650922,1754.624516,0.954545,7.35E-12,-0.985744196,0,2,0.391399646,0.003703704,0.971417946,0.823853572,1,0.138214016,2325.819933,-1504.005866,15116_PreEvent/015116_20150509_170000.wav
19,0.029324936,43.50637352,0.974501256,0.966916098,1691.581203,0.941474,8.77E-12,-0.657410262,0.345533,7,0,0.003703704,0.320393065,0.049202913,0.078571429,0.050661719,280.9825105,-98.68859283,15116_PreEvent/015116_20150509_180000.wav
20,0.025388703,44.73606791,0.974083355,0.963744678,1676.909343,0.941668,8.79E-12,-0.83915238,0.388411,7,0,0.003703704,0.486334773,0.080495965,0.178571429,0.048297506,361.8249066,-117.5150516,15116_PreEvent/015116_20150509_190000.wav
21,0.370596339,49.57670335,0.980043903,0.962700705,1710.596955,0.894418,9.79E-12,-0.66038861,0.956641,11,0,0.003703704,0.154316463,0.037591025,0,0,325.2455537,-39.11737284,15116_PreEvent/015116_20150509_200000.wav
22,0.120251919,49.82839666,0.977418169,0.962264685,1782.053848,0.925181,9.45E-12,-0.156387953,0.632641,6,0,0.003703704,0.348621925,0.024207833,0.057142857,0.139319728,318.0946047,-51.83792699,15116_PreEvent/015116_20150509_210000.wav
23,0.043101752,38.69542135,0.980649371,0.967979397,1703.367458,0.953439,9.85E-12,-0.958697522,0.065738,2,0,0.003703704,0.173088171,0.071049006,0,0,350.3355146,-16.99478158,15116_PreEvent/015116_20150509_220000.wav
24,0.081283212,37.78590745,0.980205083,0.966845193,1677.571498,0.954393,9.73E-12,-0.960854899,0.012423,2,0,0.003703704,0.184145493,0.027553631,0.007142857,0.023219955,300.7928737,115.9443315,15116_PreEvent/015116_20150509_230000.wav
25,0.074394804,36.43317877,0.980637116,0.968555285,1655.264263,0.951052,9.89E-12,-0.954320538,0.16421,1,0,0,0.063875308,0.000590435,0,0,225.1587204,-28.05041083,15116_PreEvent/015116_20150510_000000.wav
26,0.097618579,37.4115511,0.980839604,0.969925453,1677.633366,0.941843,9.88E-12,-0.917821349,0.387857,2,0,0,0,0,0,0,174.2079484,-22.40457876,15116_PreEvent/015116_20150510_010000.wav
27,0.128321197,35.22560152,0.980862999,0.971681897,1658.434504,0.952247,9.91E-12,-0.897245949,0.085907,2,0,0,0,0,0,0,133.6084384,-16.56614115,15116_PreEvent/015116_20150510_020000.wav
